what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.0.v20080506-1939,org.eclipse.equinox.p2.garbagecollector,1312142065123
started,bundle,org.eclipse.equinox.p2.metadata,1.0.0.v20080514-1900,org.eclipse.equinox.p2.metadata,1312142065124
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1312142065124
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.0.v20080611,org.eclipse.equinox.p2.reconciler.dropins,1312142065125
started,bundle,org.eclipse.equinox.p2.ui,1.0.0.v20080530-1237,org.eclipse.equinox.p2.ui,1312142065126
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk,1312142065127
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1312142065127
started,bundle,org.eclipse.equinox.preferences,3.2.200.v20080421-2006,org.eclipse.equinox.preferences,1312142065128
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1312142065128
started,bundle,org.eclipse.equinox.security,1.0.0.v20080512-1800,org.eclipse.equinox.security,1312142065129
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.0.v20080427-2136,org.eclipse.equinox.simpleconfigurator.manipulator,1312142065130
started,bundle,org.eclipse.help,3.3.100.v20080610,org.eclipse.help,1312142065149
started,bundle,org.eclipse.jface,3.4.0.I20080606-1300,org.eclipse.jface,1312142065150
started,bundle,org.eclipse.team.core,3.4.0.I20080605,org.eclipse.team.core,1312142065151
started,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1312142065156
started,bundle,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui,1312142065157
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1312142065158
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1312142065159
started,bundle,org.eclipse.ui.forms,3.3.100.v20080611,org.eclipse.ui.forms,1312142065159
started,bundle,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.ide,1312142065161
started,bundle,org.eclipse.ui.intro,3.2.200.v20080610,org.eclipse.ui.intro,1312142065161
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1312142065161
started,bundle,org.eclipse.ui.navigator,3.3.100.I20080606-1300,org.eclipse.ui.navigator,1312142065162
started,bundle,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.resources,1312142065163
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1312142065163
